ngram,log_prob
the,-4.198085069718392
ing,-4.8345119322378025
and,-4.888268124623117
ion,-5.249101311830991
ent,-5.3474613284264265
tio,-5.4395677517299745
for,-5.633771575460326
ati,-5.635615082839845
you,-5.752509332414476
tha,-5.771034986271889
her,-5.8088490949111495
est,-5.810286911578146
ere,-5.868862663492607
eth,-5.882028224734928
int,-5.896019606652082
ate,-5.9084306859459765
ers,-5.918900568153269
nth,-5.937245198118106
ter,-5.94587264039977
our,-5.9552628820607865
rea,-5.973721692039902
sth,-5.981776559530065
hat,-5.982942619263724
res,-6.031108609046754
are,-6.034898284224809
pro,-6.086294711314643
ons,-6.086658061199763
sin,-6.093579694077192
all,-6.098520624861518
san,-6.1214878586076615
tin,-6.127311400665665
ver,-6.138375383384705
ith,-6.141763669777877
ess,-6.1555851857413195
sto,-6.158580989310948
thi,-6.176412909471164
ont,-6.200030496648786
wit,-6.220093661976097
con,-6.229092902690027
oft,-6.271429758660343
sta,-6.276414248494017
men,-6.284679065552247
com,-6.294828298299706
nce,-6.302138331956005
hes,-6.304662890534765
ear,-6.310108759089939
din,-6.311081179616981
oth,-6.31164415593323
his,-6.32689902766111
ort,-6.333503791030857
ive,-6.345621012370245
tth,-6.357073992455927
eve,-6.376209549560162
fth,-6.383806484984763
ngt,-6.397343764855165
ore,-6.413554658580953
eco,-6.415429954455192
ect,-6.428060184989096
eri,-6.429564420497307
ist,-6.429636764636484
ean,-6.442578875561043
era,-6.44269349390256
iti,-6.443060390155246
ted,-6.44621969233264
dth,-6.44846102869694
ona,-6.4651169568622855
per,-6.478909529314709
ein,-6.482948596163194
can,-6.510599241731462
edi,-6.513912100083555
rth,-6.51588609298495
ica,-6.523750759079135
esa,-6.528682169990812
cti,-6.542535342858013
ine,-6.542914748851963
ome,-6.555208782408844
sof,-6.55621433085274
rin,-6.56405093945698
out,-6.567981429193136
tor,-6.591549818005106
tan,-6.592762237689492
ese,-6.5928467838492395
edt,-6.595522766955465
ert,-6.601520712196681
ide,-6.603087196337668
ill,-6.604967172680983
eof,-6.60506823529165
ure,-6.606617209323794
ant,-6.612865058302976
nte,-6.627909127330799
one,-6.631701507242955
nti,-6.648102276878117
eas,-6.652860602907577
str,-6.655214890559023
nin,-6.656063563552973
ran,-6.6587032461445546
ndi,-6.659692073086745
tra,-6.665327954148303
eto,-6.669680420673476
nde,-6.670880297959901
eat,-6.680784873805521
lin,-6.690104164678669
ina,-6.693123625364265
art,-6.6939300395948464
ast,-6.695454143624609
ain,-6.696487480813701
hea,-6.698935483852534
ces,-6.69989061148312
rat,-6.702657947121331
nga,-6.711788263784207
nal,-6.714539325621445
ste,-6.721276209608067
nts,-6.72831327630702
ity,-6.7299949853120395
esi,-6.73923948862064
ave,-6.740046185269335
nto,-6.743305430258793
ove,-6.746190055661909
ble,-6.751865210260579
hen,-6.758546894468747
han,-6.760550861122745
der,-6.762155964983396
use,-6.763041120276547
sti,-6.7656897858140574
man,-6.7681795968658385
cha,-6.7715074150766945
hec,-6.780332514728283
lea,-6.782947443203202
als,-6.784289399404319
oun,-6.785924438437217
act,-6.786928185994295
ies,-6.793631955518869
igh,-6.7997059504172235
hei,-6.802826245336874
att,-6.804070225485262
ndt,-6.804189426811334
red,-6.8044146469712885
enc,-6.805354836367933
hem,-6.807667132742601
hin,-6.820794575437823
rom,-6.821020863535406
anc,-6.82223185187603
eso,-6.847733089092049
ght,-6.849995822389246
gth,-6.851031271042348
not,-6.857337919295052
age,-6.857687313203488
nta,-6.86333198537228
ren,-6.863954739065413
tof,-6.866275734458924
tur,-6.866457903531757
ust,-6.868132554127346
nds,-6.869113430183599
ins,-6.869484587369868
son,-6.876818467072013
cal,-6.8773312776595645
inc,-6.878517807095143
eal,-6.880895324499335
tot,-6.885659339551065
dto,-6.894091553162433
pre,-6.900352541403002
ssi,-6.900557819342158
nda,-6.900757977018998
ind,-6.902876648352695
tic,-6.903348151663401
eda,-6.915487372300948
sit,-6.91658566266025
ene,-6.92369733828998
fro,-6.924501500099176
rec,-6.92851231222469
lan,-6.933660605855792
ali,-6.934388113270192
ret,-6.943024533533649
wor,-6.947162217842653
hav,-6.948711120028058
tho,-6.949496260447713
les,-6.950477237743186
und,-6.9515271072014535
pla,-6.952035747839329
eme,-6.958485594881072
nan,-6.972774161340954
ple,-6.973253216042028
orm,-6.9758929575992354
nst,-6.977230084603285
min,-6.984006226795053
ial,-6.990080601847222
hep,-6.993298724930398
ase,-6.997956200750014
hel,-6.999849664617511
ten,-7.004937763120477
yth,-7.0058496390125065
par,-7.012858279728782
nes,-7.013422299231806
kin,-7.015696344229848
its,-7.018622757174111
tiv,-7.021127826927373
tal,-7.025254832919224
ice,-7.035007431677748
abl,-7.03525402517667
een,-7.036223450097406
end,-7.037663668618176
rst,-7.03776758017257
ono,-7.042395330224661
ana,-7.048620456969548
ema,-7.051028537151126
ngs,-7.051881004542977
efo,-7.054267402602864
lit,-7.055707413610879
rou,-7.058127500748874
has,-7.063065973022347
ora,-7.064148666313809
nge,-7.074269308849804
ite,-7.0767410404268
ame,-7.080902418625151
ost,-7.0854019785130085
lly,-7.085866763073248
tes,-7.087281541262488
ass,-7.094385238782074
tis,-7.095206986630885
por,-7.1052658126477475
epr,-7.110102658566106
ead,-7.110582680831939
tre,-7.1129526256090045
isa,-7.114677544249435
ous,-7.11798198057846
was,-7.119167526485828
ses,-7.123462089202061
den,-7.124539171997572
ree,-7.128093036030638
sar,-7.131449842886333
lat,-7.132284859334465
omp,-7.134095630106536
ens,-7.135726153579984
ien,-7.143438215842433
rie,-7.143452751548413
whe,-7.145131376239341
ani,-7.151162014554263
ser,-7.15161987889196
hou,-7.153755452282191
tim,-7.156470551448283
dis,-7.1596567955923405
spe,-7.160175192192916
eli,-7.16212908134511
nat,-7.162659073746944
ven,-7.16475456673993
sed,-7.166520017917364
mat,-7.166873060201564
tat,-7.173504045216074
eca,-7.175146330621271
chi,-7.1758351243042995
ele,-7.176310619999246
gin,-7.178042518735001
ans,-7.1793918993495005
sho,-7.180758293405049
nsi,-7.18338210475715
whi,-7.185482188543869
mor,-7.186401312990167
ake,-7.186830677443552
emo,-7.192530343767224
any,-7.196585959435168
lle,-7.196999928986347
wil,-7.197326688121603
tto,-7.200677849780938
sco,-7.203296544154277
sea,-7.208656592463516
hed,-7.208837759139659
let,-7.209805480694762
ell,-7.212873335339459
sse,-7.221052900791857
cou,-7.221349287456331
cat,-7.222079588712553
ngi,-7.225801075475644
het,-7.230817318266887
des,-7.2311344111857
ors,-7.231764500214258
ori,-7.23298795258361
rit,-7.236006442263552
ntr,-7.238456086200873
ral,-7.240512529856652
oul,-7.242766594225138
ard,-7.245961138712417
ffe,-7.246996523371891
ose,-7.249122364660511
ede,-7.257543615913455
hey,-7.258079210856167
nit,-7.261540729709964
ini,-7.265616140648483
isi,-7.26677474419127
ime,-7.274660134766783
ath,-7.281475313276479
but,-7.284778840422026
wer,-7.286545020305793
tsa,-7.28718437179846
ery,-7.289276114166178
ach,-7.2901178135755025
how,-7.295374196178042
dan,-7.295471723528223
ner,-7.300206188672972
yin,-7.300260644566698
oni,-7.300852038095982
cre,-7.301116818990765
hef,-7.303640063270045
hth,-7.304323779588206
alt,-7.305729350594362
exp,-7.309469795747331
eac,-7.313188321113216
sio,-7.314074511293633
sen,-7.315697210453475
fer,-7.321847772367457
ord,-7.321888509632123
app,-7.322316762213747
eir,-7.3233532181727234
rac,-7.323526888473911
rti,-7.325889776496023
rma,-7.326592419809067
mpl,-7.3326025275155295
sha,-7.3406431417207045
che,-7.341564427176458
esp,-7.341741049970681
ero,-7.342453965103061
lth,-7.343298836134853
she,-7.344196041401421
sis,-7.3448022334651775
set,-7.349334601804147
ves,-7.349410263294676
dit,-7.3499878685593725
tri,-7.3510571675275145
ndo,-7.351464480721139
sfo,-7.351531354454547
fin,-7.35556254815322
tst,-7.359315069861692
tte,-7.362282200191343
heb,-7.362545417944913
asi,-7.36255397704698
rep,-7.367288098067997
don,-7.368160739548744
met,-7.369003499651944
gan,-7.370097280130311
edo,-7.3704715062447566
asa,-7.375421315053304
tom,-7.375577139184905
get,-7.379005212511098
ire,-7.379394849611467
ata,-7.38016474829195
tyo,-7.38261235476314
off,-7.383982057927009
elo,-7.385815090019417
ari,-7.38600020542701
ili,-7.388474451582109
sur,-7.388893405684023
mer,-7.389673418949007
ace,-7.393359039838826
ual,-7.39412361606831
lar,-7.395847664707063
swi,-7.400003134487001
uld,-7.402465103188385
dre,-7.402944195112173
imp,-7.404234837182157
ern,-7.404545165745331
eed,-7.406445956360612
hic,-7.408290719106896
yan,-7.409351982068326
tea,-7.409561755445292
ich,-7.41049351684871
ric,-7.413005143023353
ugh,-7.414119572776475
top,-7.4147792165747255
iss,-7.4168194978974835
ork,-7.4201987617272
oug,-7.425400158966328
cia,-7.425529460328331
low,-7.4257892855149805
lso,-7.426550655890672
rel,-7.42760786665891
vel,-7.4276650238780775
duc,-7.427680553458634
eti,-7.428529305034736
fic,-7.431414906761667
uni,-7.431617306701625
ete,-7.4322242280479305
ang,-7.433486036184545
ngo,-7.433615337139788
ise,-7.434563617330168
ala,-7.434934111124823
abo,-7.436027730069844
rem,-7.437663220543424
gra,-7.4386818470946885
usi,-7.440525634214014
ade,-7.441965280798851
ton,-7.444182707076733
ela,-7.445107999322904
mon,-7.4474950643093365
ita,-7.448308317869596
omm,-7.450740702906396
rsa,-7.451390081033791
ech,-7.45311074644418
ris,-7.454249229181448
ope,-7.456986081386001
new,-7.46184775185548
ong,-7.462970409351643
har,-7.4638219236337005
tar,-7.467349572531155
eyo,-7.469423764907544
ane,-7.470185063638487
ack,-7.470472964596011
ewi,-7.471654989534079
uti,-7.472007973445196
ber,-7.47282243943161
mes,-7.479610651544725
hee,-7.480475221775391
esu,-7.481675472156306
gre,-7.482110279870275
som,-7.483446884887563
ena,-7.483496147116698
ofa,-7.484414635137211
hew,-7.485349589549946
oin,-7.4867557388755
llo,-7.488489721692735
dat,-7.488932636618351
own,-7.489502625057064
vid,-7.493182257977571
owe,-7.493486474613377
edb,-7.497592616458306
nof,-7.498333375848221
erv,-7.500499437982077
pos,-7.500644579958276
rso,-7.503006868337826
swe,-7.505417064794067
tos,-7.5066661473748795
tem,-7.509578256826968
ish,-7.50979753854706
car,-7.510037273581489
mar,-7.51060410992916
epa,-7.510976647729144
oma,-7.511096791337071
ebe,-7.511854013972714
sca,-7.513911882112506
thr,-7.515921965097878
sal,-7.5170080020721155
toa,-7.517784567536422
ond,-7.518351955676405
lli,-7.519772551520218
shi,-7.520389176010299
gen,-7.521116789398976
ult,-7.5291500414976404
pri,-7.529374813479979
eta,-7.529911090012671
inf,-7.533190345190858
tai,-7.537732339557236
eis,-7.540168806178203
ndc,-7.540653335256323
eci,-7.541227858212377
ile,-7.5412296125401195
led,-7.541772139817981
ned,-7.541950609342809
sma,-7.5421007239481295
lic,-7.543938307303446
efi,-7.544724928796072
rre,-7.545070921382251
sso,-7.545135202910712
rch,-7.549046529510047
rov,-7.553600448775242
now,-7.554140845436573
unt,-7.556181438439731
ett,-7.556694576423283
nsa,-7.559993877015966
tit,-7.5617557266604365
pec,-7.562211118596048
nfo,-7.570589859039776
erc,-7.570951696227985
swh,-7.571273439234318
ote,-7.574407709690121
rse,-7.576728975466144
tso,-7.577311877807418
las,-7.577889660597634
cho,-7.579469312440537
isc,-7.579771472844131
erm,-7.5801015381489965
lis,-7.587446098700983
ntt,-7.592159788229607
eno,-7.592835957505734
rto,-7.594495540156284
sor,-7.594832044581748
esc,-7.594855027245648
ale,-7.596251790960727
erf,-7.596550876897018
toc,-7.596565555420739
uri,-7.596966130510975
olo,-7.5974680030347574
ron,-7.597477127509686
lla,-7.6051154535846095
sst,-7.60952229236751
lec,-7.6101155487556635
nco,-7.611007426227706
ign,-7.613287426079168
sre,-7.613848335222432
ded,-7.615205467686154
rei,-7.615539094211913
tob,-7.6193532331894165
ewa,-7.62019944135856
onc,-7.621848210582447
rof,-7.625058058705374
equ,-7.628405365085932
ici,-7.628604454253649
ula,-7.62986020334934
rta,-7.630381420593521
yst,-7.630508330658092
yof,-7.631073547727281
cen,-7.637650943738711
mea,-7.638204266353593
tht,-7.638326534618534
nse,-7.638467346899402
ges,-7.641317656985917
yto,-7.641498162270308
tec,-7.643550649671408
esh,-7.643631949325783
acc,-7.649533916827066
med,-7.649740190748485
bou,-7.650788511070289
sel,-7.653987046755926
ook,-7.654684740352039
hil,-7.6549122262319855
sec,-7.655175316187334
oll,-7.656143414587376
urs,-7.657740709832886
ref,-7.6591888824464345
ail,-7.659930711622458
onl,-7.663313925126413
uct,-7.664536654152425
tie,-7.666182209415222
spo,-7.670681312627924
ura,-7.67229718439059
ssu,-7.675003528824707
utt,-7.675172166623623
ara,-7.676434928630524
ood,-7.676524134898152
eds,-7.679100152989092
nis,-7.679949105837414
sts,-7.680126978645388
win,-7.680316307694548
rsi,-7.687536487490174
day,-7.687983516393102
ely,-7.688228527634452
mak,-7.690195023601751
ovi,-7.691281380961222
emi,-7.70128757422906
ike,-7.702196108514139
ifi,-7.703753160062405
ivi,-7.706598025462693
pen,-7.710468454385399
war,-7.711343258238287
pan,-7.712422659714891
obe,-7.7134941962901475
eni,-7.715223781751277
sig,-7.716100319490511
alo,-7.722092135219082
way,-7.723572075309887
gto,-7.724265641198103
sid,-7.724740814875469
spr,-7.725581262468969
ewh,-7.728288036624116
nee,-7.729385717830109
fac,-7.729947722747971
bet,-7.7310263716479675
tro,-7.731304613655254
urc,-7.732241199772938
tco,-7.738016076816725
who,-7.738215266334995
uch,-7.740072003758463
sas,-7.741564702654635
sbe,-7.742034409477066
nso,-7.743223508743164
wha,-7.74443390743359
eha,-7.745175980604229
ays,-7.7464553376418
epo,-7.748604794483777
ndp,-7.75160218684748
