ngram,log_prob
th,-3.7355728059791176
in,-3.8889758327630872
he,-3.973907068082049
er,-4.102912258347388
an,-4.111794174773479
re,-4.1783116669030775
es,-4.23147652564451
on,-4.327896138601144
st,-4.364677697565455
ti,-4.390239158140066
en,-4.430629455363771
at,-4.4316829891281095
nt,-4.4449295142090754
or,-4.5005832841660585
nd,-4.513107671464375
to,-4.560578003054783
ea,-4.565132389240645
te,-4.617586207640901
ng,-4.642537961932298
al,-4.6813998166425
it,-4.695435637701316
ed,-4.703652833193917
ar,-4.710387563776422
ou,-4.728257244611061
et,-4.8162735953925555
is,-4.822703291963617
se,-4.854625032932734
ha,-4.895290068673848
le,-4.929764306103461
si,-4.957986559770394
ro,-4.970286069794234
as,-4.974022303637643
ve,-4.984020111233786
of,-4.98801035433921
ra,-4.995938326030117
sa,-4.999712489063715
ta,-5.033961534610565
de,-5.038841275250263
ec,-5.043426253886366
ri,-5.047617439460744
co,-5.050263125659903
ne,-5.071993739538474
me,-5.072266883454212
io,-5.106017325192493
li,-5.1501483361719345
ur,-5.169371491499302
so,-5.1917724971211285
ic,-5.209656223295834
di,-5.2257923969755495
el,-5.229900290061945
hi,-5.240142491588429
ce,-5.251505825361491
na,-5.254147628667855
ns,-5.259675671046303
ca,-5.265667979992198
ll,-5.265881980743199
ma,-5.284281440100347
om,-5.289257657664191
la,-5.317780200216795
ss,-5.337522256926725
rt,-5.341240194499566
rs,-5.366025591960415
ts,-5.381155726604906
ac,-5.398003084877871
fo,-5.400577994346772
ch,-5.408465100279095
em,-5.433375314402696
ot,-5.458376149993843
ee,-5.465168152390962
yo,-5.468983522466086
us,-5.488400131618835
ni,-5.508992164613279
nc,-5.5103320236675515
no,-5.510956466950788
ho,-5.515351762947603
be,-5.51813227586236
pr,-5.5183273056082065
il,-5.5213680736335675
tt,-5.524119424132387
lo,-5.539452126105942
ei,-5.552679940201802
tr,-5.556679706258993
pe,-5.559515161611749
ct,-5.586952504729002
wi,-5.63623216959104
da,-5.65237330591351
ge,-5.65368184620279
ep,-5.701278687393767
ut,-5.717948931004194
ly,-5.7421065477194375
eo,-5.751714109732571
ie,-5.757772101220823
un,-5.7704106480427555
ow,-5.783603416083935
sh,-5.8003659859456
ol,-5.8025509782585125
dt,-5.812568390193924
os,-5.815492570892626
mo,-5.816749924605567
ef,-5.829183352994356
ew,-5.833607512551417
ad,-5.834894603995899
pa,-5.842150525312672
we,-5.864525301908959
su,-5.869400879687046
am,-5.873938348720689
po,-5.8793770283556945
ai,-5.904412427555414
