ngram,count
the,193632994
ing,102466685
and,97103899
ion,67690669
ent,61349580
tio,55951313
for,46075349
ati,45990487
you,40916783
tha,40165751
her,38675277
est,38619709
ere,36422510
eth,35946130
int,35446696
ate,35009483
ers,34644850
nth,34015097
ter,33722896
our,33407712
rea,32796702
sth,32533590
hat,32495676
res,30967586
are,30850451
pro,29304906
ons,29294260
sin,29092196
all,28948808
san,28291511
tin,28127233
ver,27817749
ith,27723654
ess,27343107
sto,27261315
thi,26779502
ont,26154445
wit,25634933
con,25405273
oft,24352144
sta,24231063
men,24031623
com,23788954
nce,23615690
hes,23556146
ear,23428211
din,23405440
oth,23392267
his,23038129
ort,22886469
ive,22610822
tth,22353338
eve,21929661
fth,21763694
ngt,21471058
ore,21125799
eco,21086219
ect,20821570
eri,20790273
ist,20788769
ean,20521452
era,20519100
iti,20511573
ted,20446873
dth,20401096
ona,20064111
per,19789275
ein,19709506
can,19171991
edi,19108582
rth,19070899
ica,18921501
esa,18828421
cti,18569386
ine,18562342
ome,18335533
sof,18317105
rin,18174122
out,18102829
tor,17681163
tan,17659739
ese,17658246
edt,17611056
ert,17505742
ide,17478341
ill,17445513
eof,17443750
ure,17416751
ant,17308273
nte,17049835
one,16985298
nti,16708998
eas,16629680
str,16590575
nin,16576501
ran,16532802
ndi,16516462
tra,16423639
eto,16352311
nde,16332702
eat,16171732
lin,16021723
ina,15973419
art,15960543
ast,15936236
ain,15919777
hea,15880853
ces,15865692
rat,15821847
nga,15678046
nal,15634974
ste,15529997
nts,15421095
ity,15395183
esi,15253518
ave,15241218
nto,15191624
ove,15147865
ble,15062142
hen,14961837
han,14931884
der,14907936
use,14894746
sti,14855347
man,14818406
cha,14769175
hec,14639409
lea,14601178
als,14581597
oun,14557775
act,14543170
ies,14446002
igh,14358523
hei,14313790
att,14295995
ndt,14294291
red,14291072
enc,14277642
hem,14244666
hin,14058892
rom,14055711
anc,14038700
eso,13685222
ght,13654291
gth,13640160
not,13554407
age,13549672
nta,13473404
ren,13465016
tof,13433800
tur,13431353
ust,13408879
nds,13395733
ins,13390762
son,13292915
cal,13286100
inc,13270345
eal,13238832
tot,13175912
dto,13065277
pre,12983731
ssi,12981066
nda,12978468
ind,12951000
tic,12944895
eda,12788704
sit,12774666
ene,12684139
fro,12673943
rec,12623212
lan,12558391
ali,12549258
ret,12441344
wor,12389972
hav,12370796
tho,12361087
les,12348967
und,12336009
pla,12329736
eme,12250467
nan,12076670
ple,12070886
orm,12039064
nst,12022977
min,11941783
ial,11869464
hep,11831328
ase,11776352
hel,11754075
ten,11694421
yth,11683762
par,11602161
nes,11595619
kin,11569280
its,11535473
tiv,11506612
tal,11459222
ice,11348008
abl,11345210
een,11334217
end,11317905
rst,11316729
ono,11264479
ana,11194574
ema,11167649
ngs,11158133
efo,11131537
lit,11115519
rou,11088651
has,11034025
ora,11022085
nge,10911097
ite,10884161
ame,10838962
ost,10790301
lly,10785287
tes,10770039
ass,10693803
tis,10685019
por,10578079
epr,10527038
ead,10521986
tre,10497079
isa,10478988
ous,10444418
was,10432043
ses,10387338
den,10376156
ree,10339346
sar,10304697
lat,10296096
omp,10277469
ens,10260725
ien,10181898
rie,10181750
whe,10164673
ani,10103558
ser,10098933
hou,10077389
tim,10050065
dis,10018094
spe,10012902
eli,9993357
nat,9988062
ven,9967154
sed,9949573
mat,9946061
tat,9880327
eca,9864114
chi,9857322
ele,9852636
gin,9835587
ans,9822324
sho,9808912
nsi,9783209
whi,9762685
mor,9753716
ake,9749529
emo,9694118
any,9654882
lle,9650886
wil,9647733
tto,9615456
sco,9590309
sea,9539042
hed,9537314
let,9528089
ell,9498903
sse,9421523
cou,9418731
cat,9411855
ngi,9376894
het,9329975
des,9327017
ors,9321142
ori,9309745
rit,9281686
ntr,9258977
ral,9239956
oul,9219152
ard,9189748
ffe,9180238
ose,9160743
ede,9083922
hey,9079058
nit,9047685
ini,9010887
isi,9000453
ime,8929760
ath,8869109
but,8839858
